Site,qtd CNPJs,qtd UF MVX,CNPJ,CNPJRaiz,RazaoSocial,Telefone,Logradouro,Numero,Complemento,Bairro,Cidade,Uf,Cep,CapitalSocial,Cnae,CodigoPredio,Predio,NaturezaJuridica,DescNaturezaJuridica,Mailing,SDR,Data,Telefone
https://HAHNEMANN.COM.BR,4,3,28559803000108,28559803,VESUVIO MOVEIS PLANEJADOS LTDA,Erro na consulta,RUA PEDRO ALEXANDRINO,85,,ANHANGABAU,JUNDIAI,SPI,13208160,100000,4754701,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://SICOFE.COM.BR,23,3,43829030000118,43829030,CORPMAX PARTICIPACOES LTDA,"19 3326-7741, 19 99911-5265",RUA DAS GARDENIAS,223,,PARQUE CECAP,VALINHOS,SPI,13273350,50000,6462000,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,"19 3326-7741, 19 99911-5265"
https://CONTMAISASSESSORIA.COM.BR,74,3,48417504000138,48417504,UFV SOLSTICIO ENERGIA I SPE LTDA,19 3325.9211,RUA UIRAPURU,615,LETRA B,JARDIM SAO GONCALO,CAMPINAS,SPI,13082706,1000,6810202,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,19 3325.9211
https://FRANCLEI.COM.BR,52,3,38300789000179,38300789,TOSCANA LUXURY RESIDENCES SOCIEDADE UNIPESSOAL LTDA,"(15) 2105-0800, (15) 99176-5437, (15) 99176-6874, (15) 99176-6066, (15) 2105-0812, (15) 99176-8337, (15) 2105-0828, (15) 2105-0816, (15) 99176-7510, (15) 2105-0814, (15) 2105-0808",RUA PORPHYRIO LOUREIRO,581,SALA  08,JARDIM SANTA ROSALIA,SOROCABA,SPI,18090060,100000,4120400,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,"(15) 2105-0800, (15) 99176-5437, (15) 99176-6874, (15) 99176-6066, (15) 2105-0812, (15) 99176-8337, (15) 2105-0828, (15) 2105-0816, (15) 99176-7510, (15) 2105-0814, (15) 2105-0808"
https://ESCRITORIOPREMIER.COM.BR,4,3,13447352000131,13447352,COMMTELL COMUNICACAO ECONOMIA LTDA,Nenhum telefone encontrado.,AVENIDA DOS PIONEIROS,120,CASA  6,PARQUE VILLA FLORES,SUMARE,SPI,13175668,95000,7490104,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Nenhum telefone encontrado.
https://DIBDBRASIL.COM.BR,10,3,10463761000133,10463761,DIBD II CONSULTORIA LTDA,Erro na consulta,RUA RUA RIACHUELO,460,SALA  1105,VILA ADONIAS,SOROCABA,SPI,18035330,100000,7020400,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://CORDIERINVESTIMENTOS.COM.BR,5,3,23880705000146,23880705,CDR ADMINISTRADORA E CORRETORA DE SEGUROS E NEGOCIOS LTDA,"(11) 3848-7575, +55 (15) 3219-2800, (41) 3542-2093, (15) 3219-2800, +55 (15) 3231-9900, +55 (11) 3848-7575, +55 (41) 3359 2284, +55 (41) 3542-2093",RUA OCTAVIANO GOZZANO,325,ANDAR 17                  SALA  173,PARQUE CAMPOLIM,SOROCABA,SPI,18048100,250100,6622300,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,"(11) 3848-7575, +55 (15) 3219-2800, (41) 3542-2093, (15) 3219-2800, +55 (15) 3231-9900, +55 (11) 3848-7575, +55 (41) 3359 2284, +55 (41) 3542-2093"
https://GRUPOSALMERON.COM.BR,11,3,43747559000516,43747559,SALMERON AMBIENTAL LTDA,"(15) 99133-8728, +55 (15) 99133-8728, +55 (15) 3232-2425",AVENIDA BANDEIRANTES,2.480,,BRIGADEIRO TOBIAS,SOROCABA,SPI,18108000,2750000,4687702,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,"(15) 99133-8728, +55 (15) 99133-8728, +55 (15) 3232-2425"
https://RIGO.COM.BR,4,3,4684648000509,4684648,ROBUSTEC INDUSTRIA E COMERCIO LTDA,Erro na consulta,RUA ARMANDO DE CAMPOS,210,BOX   1,TERMINAL INTERMODAL DE CARGAS (TIC),CAMPINAS,SPI,13069129,5000000,4661300,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://sider.net,45,3,11299852000148,11299852,ABRUZZO ADMINISTRACAO DE BENS LTDA,Erro na consulta,AVENIDA LUIZ SMANIO,780,,JD CHAPADAO,CAMPINAS,SPI,13070058,1000,6810202,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://ZANINIAUDITORIA.COM.BR,9,3,40462213000150,40462213,FRS HOLDING LTDA,+55 (19) 3475-7070,RUA E,87,,IATE CLUBE DE CAMPINAS,AMERICANA,SPI,13475623,96350,6462000,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,+55 (19) 3475-7070
https://ACSASSESSORIA.COM.BR,44,3,54601531000169,54601531,JMHL GESTAO E PARTICIPACOES LTDA,"(19) 98254-3007, (19) 3273-2387",RUA PEDRO DUARTE,178,,BETEL RESIDENCIAL GREEN VILLE,PAULINIA,SPI,13148329,500000,6462000,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,"(19) 98254-3007, (19) 3273-2387"
https://SMFLOGISTICS.COM.BR,4,3,39477357000109,39477357,ALLIED SERVICOS EM LOGISTICA LTDA,Erro na consulta,AVENIDA DOS PARQUES,45,APT   415 B,TAMBORE,SANTANA DE PARNAIBA,SPI,6544300,1000,7820500,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://SKYFITACADEMIA.COM.BR,8,3,42799532000180,42799532,AMERICAN EAGLE ACADEMIA DE GINASTICA LTDA.,Erro na consulta,RUA SEBASTIAO ALVES GALANTE,150,ANEXO IND.02              QUADRAI                   LOTE  01A,JARDIM SAO JOSE,AMERICANA,SPI,13467010,10000,9313100,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://NOVAAMERICA.NET,93,3,29385752000108,29385752,MBM LTDA,Erro na consulta,RUA DURVAL BIASI,359,GALPAO02,SALTO GRANDE,AMERICANA,SPI,13474789,300000,5211701,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://JRASSESSORIA.COM.BR,17,3,11047795000100,11047795,NYVA DISTRIBUIDORA DE ALIMENTOS E BEBIDAS LTDA,Erro na consulta,RUA ITALIA MANFREDINE,102,,NUCLEO INDUSTRIAL ALERT,SALTO,SPI,13323141,93700,4637199,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://GILMAGALHAES.COM,9,3,48937515000149,48937515,QUINACAL PARTICIPACOES LTDA,Erro na consulta,RUA ROBERTO MAZZALI,37,QUADRAA                   LOTE  3,JARDIM LAGO AZUL II,LOUVEIRA,SPI,13294382,10000,6463800,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://SACONSULTORIA.COM,32,3,42560203000182,42560203,M CASARIN SERVICOS MEDICOS LTDA,Erro na consulta,RUA MARIA AUGUSTA DA COSTA OLIVEIRA,251,,JARDIM NOVO MUNDO,JUNDIAI,SPI,13211619,10000,8630502,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
https://CONTELURB.COM.BR,6,3,23432265000750,23432265,CONTELURB SOLUCOES AMBIENTAIS LTDA,Erro na consulta,RUA DAS ACACIAS,670,,JARDIM BOA VISTA,HORTOLANDIA,SPI,13187042,200000,3319800,,,2062,Sociedade Empresária Limitada,MAILING LIBERADO,adelacosta,2025-02-05,Erro na consulta
